user,date,retweets,favorites,text,geo,mentions,hashtags,id1,permalink
user,9/30/2016 5:21,0,0,# iphone # recovery iPhone 7 Photo Recovery: How to Recover Deleted Photos from iPhone 7 http://buff.ly/2cUSeTp,null,,# #,7.81642E+17,https://twitter.com/iSkysoft/status/781642476406837249
user,9/30/2016 5:15,0,0,Why and how I switched from # Windows to # MAC # Tech # Apple # iPhone # iOS # geek # mobile http://bit.ly/2bQypi3 pic.twitter.com/W8pYO5V9Sr,null,,# # # # # # # #,7.81641E+17,https://twitter.com/CGS_Computers/status/781641108476526592
user,9/30/2016 5:13,0,0,# CarlZeiss lens for # iphone # smartphone & # livestreaming from # ExoLens # LiveStreamingGadge...:http://youtu.be/_F-neQmpfKk?a,null,,# # # # # #,7.8164E+17,https://twitter.com/RyanSteinolfson/status/781640452848189444
user,9/30/2016 4:50,0,0,I've completed Bijou from Goa quest in Airport City! http://gigam.es/itw_pPort # iphone # gameinsight,null,,# #,7.81635E+17,https://twitter.com/eddieddason/status/781634697516421121
user,9/30/2016 4:48,0,0,Top free # iPhone Business # Apps #18: Sideline - 2nd Phone Number from Pinger,,,,,
user,9/30/2016 4:46,0,0,"BlackCam - Black&White Camera"" from 1",,,,,
user,9/30/2016 4:42,0,0,Top # iPhone Business # Apps 43: On The Fly™ from Ctuit Software - http://apple.co/1lQgq8y,null,,# #,7.81633E+17,https://twitter.com/AppToday/status/781632678407864320
user,9/30/2016 4:41,0,0,"Timenotes"" from 0",,,,,
user,9/30/2016 4:41,0,0,"Safety Note+"" from 1",,,,,
user,9/30/2016 4:41,0,0,Wonderoom Pro — Picture & Photo Editor,,,,,
user,9/30/2016 4:37,3,11,# iPhone case # rollingtray made from bamboo # iChief # staychiefin http://www.ichiefsupply.com pic.twitter.com/QLf2YLdTYS,null,,# # # #,7.81632E+17,https://twitter.com/iChiefSupply/status/781631624328851456
user,9/30/2016 4:35,0,0,I managed to chase enemies from the village! http://gigam.es/imtw_Tribez # iphonegames,,,,,
user,9/30/2016 4:32,0,0,"Color Accent"" from 0",,,,,
user,9/30/2016 4:32,0,0,"Safety Photo+Video - Secure Private Vault"" from 1",,,,,
user,9/30/2016 4:32,0,0,"He Likes The Darkness"" from 0",,,,,
user,9/30/2016 4:25,0,0,How to Remove Other Data from iPhone/iPad https://www.moptwo.com/BobbyRamos~38439 … # apple # howto # ipad # iphone # tech,null,,# # # # #,7.81629E+17,https://twitter.com/charleshtweet/status/781628522347364352
user,9/30/2016 4:25,0,0,BUGATTI Geneva High Quality FlipCase for Apple Iphone 6 Black from EU Stock http://ift.tt/2dqpx0e # iphoneonly # iphonesia # iphone # iphone…,null,,# # # #,7.81629E+17,https://twitter.com/CelliphoneInfo/status/781628517645742081
user,9/30/2016 4:10,0,0,# news # iphone 7: confirmed the cut from 256 GB,,,,,
user,9/30/2016 4:10,0,0,# news # iphone 7: confirmed the cut from 256 GB,,,,,
user,9/30/2016 4:00,0,0,# news How to send fax from # android and # iphone http://j.mp/2a4gcPP pic.twitter.com/rgOGD2qI4O,null,,# # #,7.81622E+17,https://twitter.com/BitFeedRU/status/781622118559715328
user,9/30/2016 4:00,0,0,# news How to send fax from # android and # iphone http://j.mp/2a4gcPP pic.twitter.com/q9SgLESLg9,null,,# # #,7.81622E+17,https://twitter.com/BitFeedCO/status/781622112729591808
user,9/30/2016 3:56,1,1,# Apple # iPhone SE Unlocked # Phone 16 GB Retail Packaging # Gold From Apple Price:$490.00 http://astore.amazon.com/dtech09-20/detail/B01 … # PrimeDay,null,,# # # # #,7.81621E+17,https://twitter.com/maf_store/status/781621079647346688
user,9/30/2016 3:32,0,0,Someone from # Samsung called my phone this morning,,,,,
user,9/30/2016 3:16,9,11,Scene from Tripoli city center # Iphone # streetphotography # everydaymiddleeast # libyanphoto # everydayafrica # dailylife # Tripoli # Libyapic.twitter.com/32QeYiq4jm,null,,# # # # # # # #,7.81611E+17,https://twitter.com/3bdurrauf/status/781611032397619200
user,9/30/2016 3:12,0,1,It seriously cannot be this difficult uploading 4K videos from an # iPhone to @ YouTube. What am I missing? Even thru iMovie it's 720p max.,null,@,#,7.8161E+17,https://twitter.com/jordanhmay/status/781610152612929536
user,9/30/2016 3:08,0,1,I've got to admit,,,,,
user,9/30/2016 2:52,0,0,Maestro - Perfectly timed videos from your favourite photos.... http://dlvr.it/MMNlDB # iphone # PhotoampVideo # Lifestyle,null,,# # #,7.81605E+17,https://twitter.com/eli23b/status/781605123797639169
user,9/30/2016 2:38,0,0,# iPhone # iPad # AppStore Pricedrop It's Playing Pro from $4.99 to $0.00 http://www.appticker.com/app/488102,null,,# # #,7.81602E+17,https://twitter.com/AppTicker_COM/status/781601559092289536
user,9/30/2016 2:34,0,0,# news Goodbye Home button from the # iphone,,,,,
user,9/30/2016 2:34,0,0,# news Goodbye Home button from the # iphone,,,,,
user,9/30/2016 2:32,0,0,I managed to chase enemies from the village! http://gigam.es/imtw_Tribez # iphonegames,,,,,
user,9/30/2016 2:13,0,0,# iPhone # iPad # AppStore Pricedrop Peter Potato from $1.99 to $0.00 http://www.appticker.com/app/2496093,null,,# # #,7.81595E+17,https://twitter.com/AppTicker_COM/status/781595286695280640
user,9/30/2016 2:09,0,0,Maestro - Perfectly timed videos from your favourite photos.... http://dlvr.it/MMNGKq # iphone # PhotoampVideo # Lifestyle,null,,# # #,7.81594E+17,https://twitter.com/s1ntab/status/781594228065378304
user,9/30/2016 2:01,0,0,Pro Tip - 11 Create an # iphone or # Android app from your blog http://dld.bz/erwU6 # wordpresspic.twitter.com/jkPWsQEDBp,null,,# # #,7.81592E+17,https://twitter.com/MarketingPicz/status/781592271661694976
user,9/30/2016 1:48,0,0,Top free # iPhone Business # Apps #14: ZipRecruiter Job Search from ZipRecruiter,,,,,
user,9/30/2016 1:46,0,0,I've finished the Scent from Faraway Lands quest! Are you able to fulfil the same task? http://gigam.es/Castlez_tw # iphone,,,,,
