user,date,retweets,favorites,text,geo,mentions,hashtags,id1,permalink
user,9/30/2015 5:15,0,0,Win an # Apple Watch or # iPhone 6s from Macphun and Friends - The Mac Observer : http://bit.ly/1P4zTSM,null,,# #,6.49007E+17,https://twitter.com/agence/status/649007044025036800
user,9/30/2015 5:04,0,1,Realifex is Your Life Tracker. Free Yourself from # Stress and # Anxiety. # iPhone # AppleWatch http://dld.bz/dQs24 pic.twitter.com/ug2kf2vzyW,null,,# # # #,6.49004E+17,https://twitter.com/Realifex/status/649004383284383744
user,9/30/2015 5:02,0,0,Choose from tons of cool # iPhone cases at http://brev.is/2DA4 http://fb.me/7A12M5Lkf,null,,#,6.49004E+17,https://twitter.com/mnichols115/status/649003831368380416
user,9/30/2015 4:58,0,0,I've received 4917 $ from my friends in association on My Clinic for # iPhone. http://gigam.es/ittw_Clinic # iphonegames # gameinsight,null,,# # #,6.49003E+17,https://twitter.com/Nasser0071Saad/status/649002842997452800
user,9/30/2015 4:53,0,1,I'm loving the size of my new # iPhone 6s Plus Rose-Gold. It's just so much more fun to browse and type from a bigger screen! # apple,null,,# #,6.49002E+17,https://twitter.com/melissa_agnes/status/649001593698975744
user,9/30/2015 4:53,0,0,Play This: Land Sliders from Prettygreat: Land Sliders is a great first game from Prettygre... http://bit.ly/1iJvibJ # iphone # app # ipad,null,,# # #,6.49002E+17,https://twitter.com/SwipeGamer/status/649001554599538688
user,9/30/2015 4:53,0,0,HoPiKo Review from Gamezebo – 4.5/5 – “Highly satisfying gameplay”: Gamezebo has taken a lo... http://bit.ly/1jweRAn # iphone # app # ipad,null,,# # #,6.49002E+17,https://twitter.com/SwipeGamer/status/649001553831968768
user,9/30/2015 4:48,0,0,Top free # iPhone Business # Apps #50: Guidebook from Guidebook Inc - http://apple.co/19Uutba,null,,# # #50,6.49E+17,https://twitter.com/AppToday/status/649000225885974528
user,9/30/2015 4:42,0,0,Top # iPhone Business # Apps 68: Scan to Spreadsheet from Berry Wing LLC - http://apple.co/1crn2Tr,null,,# #,6.48999E+17,https://twitter.com/AppToday/status/648998718495064064
user,9/30/2015 4:30,0,0,# iPhone # iPad # AppStore Pricedrop A New Beginning - Final Cut from $10.99 to $1.99 http://www.appticker.com/app/1546471,null,,# # #,6.48996E+17,https://twitter.com/AppTicker_COM/status/648995855509389316
