user,date,retweets,favorites,text,geo,mentions,hashtags,id1,permalink
user,9/30/2017 5:20,0,0,Converting from Android to iPhone slightly tougher than switching from Ford to Chevy http://ift.tt/2yNpasf # Apple # iOS # iPhone # iPad,null,,# # # #,9.13914E+17,https://twitter.com/techvideos_xyz/status/913913899455565825
user,9/30/2017 5:14,0,0,"Frugi - Personal Finance Manager zu verfolgen Ihr"" from 4",,,,,
user,9/30/2017 5:07,0,0,The new iphone update is preventing me from scrolling through my screen. Updates always problematic! What a joke! # iPhone # problems # scam,null,,# # #,9.13911E+17,https://twitter.com/_Shaz_IA/status/913910700707368960
user,9/30/2017 5:01,0,0,# iPhone # iPad # AppStore Pricedrop Frugi - Personal Finance Manager zu verfolgen Ihr from $3.99 to $0.99 http://www.appticker.com/app/1352577,null,,# # #,9.13909E+17,https://twitter.com/AppTicker_COM/status/913909010277060608
user,9/30/2017 4:52,0,0,"Photostein"" from 5",,,,,
user,9/30/2017 4:52,0,0,"Video Player + Dokumenten Manager"" from 2",,,,,
user,9/30/2017 4:52,0,0,"Moment Mix Pro"" from 7",,,,,
user,9/30/2017 4:52,0,0,"Phoenix Photo Editor"" from 1",,,,,
user,9/30/2017 4:52,0,0,"Phoenix Photo Editor HD"" from 1",,,,,
user,9/30/2017 4:52,0,0,"Phoenix Pro Photo Editor"" from 7",,,,,
user,9/30/2017 4:48,0,0,Top free # iPhone Business # Apps #30: Adobe Scan from Adobe - http://apple.co/2xLWoKE,null,,# # #30,9.13906E+17,https://twitter.com/AppToday/status/913905753584410625
user,9/30/2017 4:47,0,0,# iPhone # iPad # AppStore Pricedrop Smash the Code from $0.99 to $0.00 http://www.appticker.com/app/1714529,null,,# # #,9.13905E+17,https://twitter.com/AppTicker_COM/status/913905493378256896
user,9/30/2017 4:42,0,0,Top # iPhone Business # Apps 62: FDA Approval Stock Picks from Dallas Croce - http://apple.co/2fwLXQO,null,,# #,9.13904E+17,https://twitter.com/AppToday/status/913904241793671168
user,9/30/2017 4:34,0,0,# iPhone # iPad # AppStore Pricedrop Statusleisten Kunst - Coole Statusleisten-Effekte from $1.99 to $0.00 http://www.appticker.com/app/1815310,null,,# # #,9.13902E+17,https://twitter.com/AppTicker_COM/status/913902427375652865
user,9/30/2017 3:57,1,0,# Iphone 8 launch in # India : jio buyback # Offer ! # Key takeways from # 9654hveid= 131 data-ved= 0ahukewin4ovbtsvwahu http://bit.ly/2yN90ze,null,,# # # # #,9.13893E+17,https://twitter.com/Tian_A1/status/913893056130232321
user,9/30/2017 3:55,0,0,Decatur (IL) WAND: iPad Mini stolen from Taylorville restaurant . More # Apple # iPhone # news - http://tinyurl.com/mm3pqq,null,,# # #,9.13892E+17,https://twitter.com/iPhoneInTheNews/status/913892395221159937
user,9/30/2017 3:37,0,0,I managed to chase enemies from the village! http://gigam.es/imtw_Tribez # iphonegames,,,,,
user,9/30/2017 3:36,0,0,Psychedelic Glass iPhone 4 Case from Zazzle http://bit.ly/yEB6bv # iphone # iphone4 # case # gift # zazzle,null,,# # # # #,9.13888E+17,https://twitter.com/iPhoneZazzle/status/913887736486035456
user,9/30/2017 3:35,0,0,iPad Mini stolen from Taylorville restaurant http://ift.tt/2k7ROBb # Apple # iOS # iPhone # iPad,null,,# # # #,9.13888E+17,https://twitter.com/techvideos_xyz/status/913887559507484672
user,9/30/2017 3:35,2,1,# RV Travelers - Don't let your # iphone become a paperweight in remote areas - try the Drive 4G-X RV from @ weBoost: http://ow.ly/kM5a30ftKTm pic.twitter.com/jclu5KA4k7,null,@,# #,9.13887E+17,https://twitter.com/CommStratSF/status/913887405870108672
user,9/30/2017 3:16,0,0,# iPhone # iPad # AppStore Pricedrop Essential Anatomy 5 from $29.99 to $15.99 http://www.appticker.com/app/1200959,null,,# # #,9.13883E+17,https://twitter.com/AppTicker_COM/status/913882701660344320
user,9/30/2017 3:09,0,0,We Dream In Colors Borrowed From The Sea: http://www.wallzies.com/wallpaper.asp?id=11317 … # android # iphone # wallpaper # wallzies via @ WallziesCom,null,@,# # # #,9.13881E+17,https://twitter.com/WallziesCom/status/913881008331669504
user,9/30/2017 2:57,0,0,Anyone else have # problems posting a # photo on # LinkedIn from an # iPhone? It's ridiculous it doesn't work,null,,# # # #,9.13878E+17,https://twitter.com/Matt_Forster/status/913877907008819200
user,9/30/2017 2:41,0,0,# Apple # iPhone SE Unlocked # Phone 16 GB Retail Packaging # Gold From Apple Price:$490.00 http://astore.amazon.com/dtech09-20/detail/B01 … # Amazon,null,,# # # # #,9.13874E+17,https://twitter.com/emarketnow1/status/913873779901779968
user,9/30/2017 2:01,0,0,With the HUGE no. of crap calls we all get,,,,,
user,9/30/2017 1:48,0,0,Top free # iPhone Business # Apps #50: Crew Messaging and Scheduling from Speramus,,,,,
user,9/30/2017 1:23,0,0,# iPhone # iPad # AppStore Pricedrop SongSheet Pro from $14.99 to $5.99 http://www.appticker.com/app/992627,null,,# # #,9.13854E+17,https://twitter.com/AppTicker_COM/status/913854318750642176
user,9/30/2017 1:08,1,0,Why Has # BillGates Switched To # Android From # WindowsPhone,,,,,
user,9/30/2017 0:45,0,0,From the # Discman to the # iPhone,,,,,
user,9/30/2017 0:42,2,1,Top # iPhone Business # Apps 85: Docs To Go Premium from DataViz,,,,,
user,9/30/2017 0:32,0,0,# iPhone # iPad # AppStore Pricedrop Fitness & Bodybuilding from $1.99 to $ http://www.appticker.com/app/1415663,null,,# # #,9.13841E+17,https://twitter.com/AppTicker_COM/status/913841351778816001
user,9/30/2017 0:32,0,0,# Apple # iPhone 4S 16GB Unlocked White From Apple Price:$84.99 FREE Shipping http://goo.gl/TNXYDe # PrimeDay,null,,# # #,9.13841E+17,https://twitter.com/TainaMarket/status/913841314411753474
user,9/30/2017 0:00,0,0,3 Things to Expect From Apple Inc.’s A11X Bionic iPad Pro Chip http://ift.tt/2wpbmmn # Apple # iOS # iPhone # iPad,null,,# # # #,9.13833E+17,https://twitter.com/techvideos_xyz/status/913833393745465344
user,9/29/2017 23:49,0,0,Get the # iPhone # app! Timeless Wisdom and Inspiration from the Bible by Charles H. Spurgeon http://bit.ly/SOMa-Spurgeon,null,,# #,9.13831E+17,https://twitter.com/FBRASWELL/status/913830682576769029
user,9/29/2017 23:08,0,0,# iPhone # iPad # AppStore Pricedrop PocketCAS Mathematik-Rechner from $17.99 to $8.99 http://www.appticker.com/app/1588883,null,,# # #,9.1382E+17,https://twitter.com/AppTicker_COM/status/913820176080150528
